gene,yao1,yao2,yao5,R,maxI
ZSCAN5B,-0.010619256195874826,-4.0354702900434816e-4,0.001562448428546529,1,0.001562448428546529
ZNF583,0.01835632504146508,0.041158607887690477,0.0419142579507563,1,0.0419142579507563
ZNF773,-0.022184915616395344,-0.01000889316934494,-2.5100777438911547e-4,1,-2.5100777438911547e-4
ZSCAN1,0.007951768777965638,0.008092582654277808,0.010826757235496053,1,0.010826757235496053
TRIB3,0.018965751526240762,0.03068746538981509,0.04298187893848224,1,0.04298187893848224
SCRT2,0.036727543072747296,0.275982937902791,0.3911544607494759,1,0.3911544607494759
C20orf202,-0.005080929138968342,0.0137555021226291,0.016170609328279576,1,0.016170609328279576
TGM3,-0.020171095027865907,9.177391000512747e-4,0.024258840519861734,1,0.024258840519861734
TMC2,-0.007277112368600759,-0.004155902629151471,0.028674309341921604,1,0.028674309341921604
NOP56,-0.06166913647071032,0.04335391488776267,0.048589790982049824,1,0.048589790982049824
GNRH2,-0.008089210591934518,0.0011340518341915143,0.007420462119318419,1,0.007420462119318419
OXT,-0.006296549751042571,0.05282016809231146,0.13214746218397275,1,0.13214746218397275
PRND,0.13944260089883942,0.1654004199887092,0.18927535580064345,1,0.18927535580064345
CHGB,0.10915397625409448,0.23661637332496677,0.43143020171634966,1,0.43143020171634966
HAO1,0.0026612412678357713,0.03815822570914366,0.21323999777961714,1,0.21323999777961714
PLCB1,0.25211833336214684,0.2893304564316275,0.3146328146649954,1,0.3146328146649954
PAK5,0.11322777692577991,0.20276470845805178,0.3202486630494503,1,0.3202486630494503
SEL1L2,-0.00921578357997093,-0.0016879218707992491,-8.837831136129823e-4,1,-8.837831136129823e-4
INSM1,0.19186632426219355,0.41767880953255415,0.42779064344063134,1,0.42779064344063134
XKR7,0.1937848856788014,0.38681590624322304,0.4253967971784841,1,0.4253967971784841
HCK,0.020012273984005673,0.024462291794560682,0.04844509865378376,1,0.04844509865378376
EFCAB8,-0.017240173671954226,0.006347649159177759,0.01153587836245958,1,0.01153587836245958
BPIFB2,-0.009283456833580688,0.35629880520374474,0.532551734298652,1,0.532551734298652
ASIP,-0.00699185548996201,-2.8785945201834903e-4,0.20530600119685408,1,0.20530600119685408
MMP24,0.0678174618049043,0.23995540795185158,0.3776206307018119,1,0.3776206307018119
GDF5,-0.008055909550857289,0.0032057847306478423,0.17298082038544807,1,0.17298082038544807
MYL9,0.292544512688724,0.43890532946455385,0.47560412367718746,1,0.47560412367718746
VSTM2L,0.2337396030293298,0.2674971881718571,0.3774634773182436,1,0.3774634773182436
TGM2,0.18530222079978723,0.39011243157179704,0.4513528752089156,1,0.4513528752089156
KIAA1755,0.213209235502027,0.4161814250066699,0.504954526856628,1,0.504954526856628
PTPRT,0.15992422225116962,0.2512680915866032,0.4369520850461058,1,0.4369520850461058
JPH2,0.161922048906149,0.31613627332120053,0.3329053083972972,1,0.3329053083972972
GDAP1L1,0.07650892831001752,0.3756683210198167,0.4434960087566502,1,0.4434960087566502
R3HDML,-0.004895180468535903,0.014687536380054867,0.02601196822706268,1,0.02601196822706268
HNF4A,0.3344676781105874,0.4303703877128003,0.6604549637313462,1,0.6604549637313462
KCNK15,-0.007346013344469405,-0.0027860737010387956,0.010269277730205936,1,0.010269277730205936
RIMS4,0.11105941433694007,0.1585970955776577,0.2745893332453169,1,0.2745893332453169
KCNS1,0.016202153564909175,0.03743345449719789,0.24411408415426306,1,0.24411408415426306
SLPI,-0.00662417137796476,0.021474474364319367,0.06702015171825697,1,0.06702015171825697
TNNC2,0.07193907336252724,0.5037442889653008,0.5832652936416679,1,0.5832652936416679
MMP9,0.001945539494477408,0.010523388761497204,0.04385351696093694,1,0.04385351696093694
SLC12A5,-0.007417897859597633,4.2829670172926914e-4,0.06735939176425804,1,0.06735939176425804
ELMO2,-0.0919385846161658,0.06763495939408394,0.20628238943592483,1,0.20628238943592483
CBLN4,-0.006043749760425,0.02434806687689596,0.2385150805438078,1,0.2385150805438078
CASS4,-0.021655367523128334,0.0415801547361019,0.13861168317456138,1,0.13861168317456138
BMP7,0.179286343270037,0.3366310588996072,0.37090542118542985,1,0.37090542118542985
PCK1,-0.0055543073784632396,0.2764372215344735,0.6207238872656726,1,0.6207238872656726
C20orf85,-0.0035311805444345197,-2.551036484015134e-4,0.3882430066780614,1,0.3882430066780614
SYCP2,0.005361965780214666,0.01713417340623168,0.032924840039200494,1,0.032924840039200494
NTSR1,0.05529494704173161,0.09774654010135002,0.20941215895933415,1,0.20941215895933415
SLC17A9,0.05810944238144139,0.323360598983625,0.3303724517522576,1,0.3303724517522576
PTK6,-0.00841740185839353,3.925172228787708e-4,5.68041760268304e-4,1,5.68041760268304e-4
MYT1,0.1976948945505475,0.47627966021908696,0.525646172654382,1,0.525646172654382
RBM11,0.005925244623121814,0.016289086202235112,0.0255121489518442,1,0.0255121489518442
CHODL,0.05204337336139322,0.20376039498940784,0.5660847907344395,1,0.5660847907344395
NCAM2,0.05058777231587529,0.13260944953816903,0.20897443610961908,1,0.20897443610961908
ADAMTS5,0.2851662272427248,0.297810022838884,0.314285143778997,1,0.314285143778997
GRIK1,0.11293781122503359,0.24399932176646424,0.25569512086454915,1,0.25569512086454915
KRTAP13-4,-0.012063220318404243,-0.0021474889296385566,0.0028916903807044486,1,0.0028916903807044486
KRTAP19-8,-0.006484609680322874,0.029776005148100224,0.049968604146877274,1,0.049968604146877274
CLIC6,0.13506528926845823,0.13710416050310462,0.3522463478228253,1,0.3522463478228253
CBR3,-0.005163047282156664,0.023378140378281443,0.039332522774935645,1,0.039332522774935645
