gene,yao1,yao2,yao5,R,maxI
KLHDC7A,0.02309881852423933,0.07166717854160858,0.09118082066666441,1,0.09118082066666441
PAX7,0.3148154198345773,0.3474046315446625,0.402321645489019,1,0.402321645489019
ALDH4A1,-0.04448498982633553,0.34850191913314765,0.4660916985555149,1,0.4660916985555149
NBL1,0.17874725022388713,0.19900308235758318,0.3355647007902958,1,0.3355647007902958
PLA2G2A,-0.0045250432265648175,0.0012115365921058358,0.05511918410296064,1,0.05511918410296064
PLA2G5,0.0296373148734277,0.47300568094421985,0.47467454773057194,1,0.47467454773057194
VWA5B1,0.163716029099957,0.1687392670009611,0.318305096713268,1,0.318305096713268
FAM43B,-0.0011670407800489044,0.008359249238740691,0.08753177161341215,1,0.08753177161341215
CDA,-0.007681991974388013,0.04489016756744468,0.2446694104667106,1,0.2446694104667106
NBPF3,0.020125037834031752,0.0219546443590357,0.02953928482313931,1,0.02953928482313931
HSPG2,0.229918664862289,0.2609356846512962,0.27445019533835635,1,0.27445019533835635
C1QA,0.08956650199836215,0.10678757380426258,0.24085180782931406,1,0.24085180782931406
C1QC,0.11676370591131856,0.13040567103180356,0.3271595956642798,1,0.3271595956642798
LACTBL1,0.014064760685958083,0.10102870120750763,0.1531419395669074,1,0.1531419395669074
ZNF436,0.032876173008222,0.24616039005732215,0.28539135157371737,1,0.28539135157371737
GALE,0.003771901245517555,0.026536259060042703,0.03137533333278947,1,0.03137533333278947
HMGCL,0.0924632654106496,0.10713768079765133,0.25633549295195485,1,0.25633549295195485
